,title,description,hash_tags,views,comments
,"[""Press Preview: A look inside Monday's newspapers""]","[[""We take a look inside Monday's newspapers with assistant comment editor at The Daily Telegraph, Olivia Otley, and Guardian Columnist Zoe Williams."", '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['1,775 views']","[[""Why there's no introduction today "", 'Nice sharing information video dear  greeting from Indonesian traditional gold finder 🇲🇨', 'Press review ???\nHow about a TRUTH review ?!!!!!', 'WE CANT COMMENT ON PANDORAS PAPERS THO.. HAHAHA', 'Can look at my portfolio anytime', 'Is there no tax enforcement infrastructure ?', 'She’s fit ']]"
1,['Pandora Papers: Document leak reveals secrets of how powerful stash their cash'],"[['It appears to be the biggest leak of offshore data yet, revealing the secrets of how the rich, powerful and famous stash their cash and avoid paying tax.', '', 'The Pandora Papers comprise more than 12 million documents, which were leaked to the International Consortium of Investigative Journalists in Washington DC.', '', ""Sky's Dominic Waghorn has more."", '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['5,592 views']",[[]]
2,['Afghan refugees stuck in UK hotels'],"[[""It's been two months since the UK evacuated thousands of people fleeing Afghanistan, as the Taliban took control of the country."", '', 'But a lack of accommodation has left families stuck in hotels and hostels, still waiting to start their lives here.', '', 'Many are former interpreters who worked for British troops, and charities are urging the government to speed up resettlement efforts.', '', ""Sky's security and defence editor, Deborah Haynes, reports."", '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['3,399 views']","[['It take people YEARS to find accommodation in this country.\nWhy should he be able to jump to the front of the queue?\nWhat happened to equality??', ""Be grateful for the hotel it's far better than a war zone and also lots of opportunities like driving lorries."", 'I knew the comments would be sympathetic to this mans suggestions he should be given his own home after just 2 months in this country.', 'We should give all asylum seekers what they wish and put them all in an asylum.', 'What about other people in the uk including brits stuck in BB hotel for over a year waiting to be housed? Or sent 100s of miles away for housing?', ""He's complaining about being stuck in a hotel.\nIf he was British he would have to live on the streets on in a hostel!!\n\nFfs!"", 'All at British taxpayers expense, disgusting.', 'Stuck in a 5 star hotel - oh the torture! \n\nWhilst the British homeless sleep outside', 'Wtf, just send him back to his country, has no right to complain', 'Poor them so stranded.', 'Send them back if they don’t like it', '""Stuck"" in a hotel ? Excuse me, did I miss something', 'I feel like getting a dingy throwing away me Passport and sailing out to the middle of the English Channel and get rescued and put up in a 5 star hotel with room service for 6 months, then get benefits, a council house, made a British citizen, and having the British government and media throwing itself beneath my feet.', 'What about the people of UK who are being thrown on the scrap heap. Why bring more people when our own people are struggling to find affordable housing, and can barely survive. This is like rubbing salt into wounds.', 'Ahh poor them! Ungrateful people', 'Did Sky expect them to be given housing immediately, they are safe and need to go through the vetting process, these things take time.', 'I suppose that if they are unhappy they can go somewhere else.', 'Ungrateful, They never stop scrounging and moaning! There welcome to go back.', 'I know Londoners homeless, born and bread here,tough', 'Yeah and People are being Evicted...', 'sky : hand me my biggest wooden spoon 😅', ""At least he's got an AK-47"", 'A hotel in Kensington. Good Lord....', 'I wish I had a room! anywhere!', 'They could always join the army', ""Well if they don't like it....."", ""Well if they don't  like it there are plenty of small boats at Dover they can go back on. Its an absolute disgrace.  What about housing our own people ."", ""Don't worry we can take up some green belt land to build houses to house em....🙄"", 'Could be worse yous could all be stuck in  Spain 🇪🇸', 'Perhaps home office should find them a job, and they can find houses themselves. ????', 'All thanks to Bush and Blair.', ""I'm stuck in a mouldy damp flat , 14 years and waiting on council waiting list"", 'WE WANT THEM OUT!', ""Unconfortable ??? WTF ... I want your place and I'm French. Life is expensive and one night in an hotel is as well so for free ..."", 'Ffs... put them to work!', 'Lul.....\n\nMeanwhile some black homeless guy is sleeping under a bridge in America right now....', '...yeah that’s tough sht...what about the homeless Britons living on the street, including veterans, that don’t get that luxury, wtf has this country turned into....wtf...???🤮', 'Stuck? Destroying they mean.', 'No one cares', 'How about the government became more competent and built housing for homeless people and refugees and create jobs through investment in education and more infrastructure projects across the country, not just London.', 'This is where our money is going', 'No more contamination in to these shores ⛔', '@bobby sands stick to being a shill.', 'oh no! stuck in a paid for hotel.', ""They should be glad there safe people in this country haven't got a place to call home so ungrateful"", 'Send them back 🤷🏻\u200d♂️', 'I hear from PJW that Scarborough Hotel is like a little Kabul.', 'Send any men away', 'At least they are safe be thankful', 'Oh no “stuck” in hotels for free, how very sad for them must be hard getting all the free accommodation free food free wifi etc 🤦🏻\u200d♂️🤡🤡🤡🤡🤡🤡🤡', 'A Londoner can wait 9-20 years for a council house, and yet these foreigners moan about staying in a hotel and expect to jump the queue.', '🤦\u200d♂️', 'Nice porsche that is', 'Is sly deleting anyone elses posts.', ""Aww bless. I'll give up my house for them and live on the streets. I mean I'd be some sort of racist if I didn't."", ""Shame sky news can't be like the Australian sky news"", 'They can always go home', 'tough im afraid.house our veterans ...our own....sorry but houses were already scarce', 'They have hotels booked out for over a year, not a bad life for putting down their guns and running from the Taliban', 'Big deal. I bet many of our homeless wish they had the same luck', 'British citizens stuck on the streets', ""Why are they here? People are waiting years and years on housing.. I'm sure he could find housing in rural Wales if he and his partner get a job."", 'them are nice new trainers', 'what ?', 'Oh well \n\nFact of the matter is there are plenty of people that live here, would love a place too.', ""Free plane tickets to Kabul is clearly the only solution.......P's ensure it's a seatless one for plenty room standing......"", 'Anyone on the housing list will be getting pushed down the pecking order its a joke', 'Two whole months?!  We should have cleared forests and built a whole new town by now! Disgraceful', 'These people served with the British army   more than the cowards in the comments here have ever done']]"
3,"[""Sarah Everard: All police officers should be 're-vetted' says former chief""]","[[""A former Met police chief superintendent has said that every officer in the UK should be re-vetted, following the sentencing of Sarah Everard's murderer, Wayne Couzens."", '', ""Parm Sandhu told Sky News she is concerned that other officers with 'questionable backgrounds' could have been missed under the current vetting procedures."", '', ""Sky's crime correspondent, Martin Brunt, reports. "", '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['9,292 views']",[[]]
4,['Watch live: La Palma volcano eruption'],"[['As lava from the Cumbre Vieja volcano reaches the sea, local authorities have said everyone within a two-mile radius must stay indoors and try to close up gaps in their homes in an effort to keep out toxic gases caused by the colliding elements.', '', 'Livestream credit: TV Canarias', '', 'Read more here: ']]",[''],"['67,756 views']","[['This is how legend of fire dragon was made.', 'Will other more slumbersome calderas awake to this resonance?', 'Volcán del Teneguía: Diario de un volcán 1971 -->  https://www.youtube.com/watch?v=01SUdE8BRTM', 'This is Biblical!', 'hi', 'Hi', 'Yep.  Still boring.', 'Just how long has that thing been erupting for now?']]"
5,['COVID-19: Teenager died on day she was due to be jabbed'],"[['A mother has warned that anyone can die from COVID-19 after her teenage daughter died just days after contracting the virus.', '', 'Jorja Halliday, 15, from Portsmouth, died on 28 September after she tested positive for the coronavirus four days earlier.', '', 'The teenager died on the day she was due to get vaccinated.', '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['11,561 views']","[[""And Sky couldn't wait until the body had turned cold to run the story"", 'just another way to force people to get the jab it wasnt o much about telling people the young girls story just another way ofadvertisement', 'Come on Sky. Try harder.', 'My brother in- law had stroke after receiving two doses of the vaccine, can Sky News call me to tell my story', 'I like how they show a serpent ring on a finger for a few seconds.\nScreams big pharma.', 'underlying causes ????', 'Constant vaccine propaganda.', 'I would hate to die within 28 days of having covid.', 'Breaking news: people die.', 'If she was due to be jabbed, this means she must have been on the vulnerable list at her age as routine vaccinations are not yet carried out on under 16 year olds.    Any mention of underlying conditions.  Covid does not kill that quickly, usually takes around 4-5 weeks with medical intervention.', 'Im allergic to BS so I’ll stick to my marijuana 👍', 'IT’S A PSY-OP, PEOPLE \n\n😂😂😂', 'This is disgusting news outlets should be ashamed of themselves.', ""now lets even it out sky and M.S.M. do a interview with People who's family members have taken the jab and died. and there's plenty out there."", ""Why can't we see 1 tear on the Aunt's face?"", 'Died from covid or died with covid?', '🕵👀The vaccinated parents🕵🕵', 'Any precautions with this young lady?', 'Jessica Berg Wilson, an ""exceptionally healthy and vibrant 37-year-old young mother with no underlying health conditions,"" passed away fromThrombotic Thrombocytopenia after receiving the jab.   OregonLive - 10/1/21', 'IMDb propaganda rating 6.66/10', '""On the day she was supposed to be jabbed""\nSound\'s like she was doomed either way on that day', 'Vaccine advert of the day.', 'Oh dear god, I have covid! Whatever shall I do? I only have a 99.98% chance of survival! This truly is a pandemic!', 'She couldnt of got the jab if she covid', 'Serpent ring at 1:09 - promotion by big pharma.', 'Its another scaremongering story... nothing to see here tragic death but using that as a scare tactic? disgusting', 'Ball locks.', ""Woooooooow they will do anything to get people to get this jab I don't think she is even in the fcking ground yet"", ""Something don't sound right about this story"", 'WAKEY WAKEY I SMELL BS', 'So has anyone died having the jab? isnt life a 50 / 50.', 'R.I.P. May The Almighty grant patience to the family during this bereavement period. Amen 🙏', 'Tragic, but playing blackmail won’t convince me or others to get vaccinated.', 'still not taking it', ""Play the video at half or quarter speed at 1:00 and just LOOK at the duping delight of the blond girl.\nShe has supposedly lost her sister yesterday.\nAnyone would think she'd won the lottery.....🤑🤑🤑🤑🤔🤔🤔"", 'Another level of BS.', 'Yeah,sure', 'I smell bullsh*t', '4 days after testing positive, she probably died of panic, I have thrown my test kit away, most I know only had a sniffle anyway, might have already had it and was oblivious if I had tested positive I would have been stressed out.', 'I feel for the family and this is a rare tragedy,, but this unbalanced reporting won’t blackmail people,, why don’t they report the people who die from getting the vaccine', 'what was she into ? dyed black hair her sister has a snake ring on', 'Why do I look at the damn comments FFS! makes my heart bleed every time.', ""If this is supposed to make me feel bad and get vaccinated, I've already been desensitized years ago and couldn't care less."", 'I smell BS 💩', ""'Sister of Jorjia Halladay' seems to be completely indifferent towards her oldest sister and role model that died less than 1 week ago."", 'She sure smiles a lot for someone that just lost her sister...', 'Loving music equald death', 'Comment deleted...comment deleted...comment deleted...', 'lies', 'From my city Portsmouth rip gal', ""I won't be made 2 feel like getting the jab feel bad 4 her but naaaf off"", 'As expected from english news, nothing but propaganda', 'PROPAGANDA!!!!!!!!!!!!', 'She got to keep her soul then', 'Try harder.', 'Lies', 'Fake news', 'Geez guys whats with the dislikes rude much?', ""The morale therefore is don't plan to get the jab."", 'Rip', 'Missleading kingdom', 'She got the vaccine without her parent’s knowledge..', 'hahahahaha', 'Who cares?  I want petrol.', 'Proper Gander ', 'Stop the manipulation. Why don’t we do a video and cover these young women having period issues after taking the jab! How about the many 12-15 reporting x6 heart problems after the jab.', 'Wow. Propaganda so young people can get jabbed. Crisis actors.', ""WITH or FROM COVID ? I'm going to go for WITH because if it was FROM SKY would have dined out on this story for a good 10 minutes and produced doctors to add weight to the propaganda."", 'B.S. story.just lost respect for this news station!', 'Propaghanda', 'Sure, and the earth is flat.', 'What’s your point here Sky???', 'Sounds like scare mongering...', 'And what was her underlying health condition?. She was not heathy in the first place!', 'the people in this comment section are so insensitive', 'It’s tragic but stop selling. Nobody’s buying.', 'How many shots had she already received? Such a terrible loss.']]"
6,"['Tory conference begins amid fuel shortages, tax rises and low confidence in police']","[[""It's not saying much, but the Boris Johnson claimed this Christmas will be better than last year's COVID-scarred event."", '', ""That's amid reports fuel and good shortages could last into next year."", '', 'Beth Rigby looks at the issues facing the Prime Minister as party members gather in Manchester.', '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['23,439 views']","[['Guy in the thumbnail is literally like holding his all life disappointment.', ""Boris looks like he's had enough cake."", 'A conference to discuss how they can profit off the fuel shortage, raise your taxes and take the final nail out of the polices coffin.', ""Everytime I see a Tory talking it's like their trying to convince themselves"", ""Hard hat, done\nHi vis, done\nSchool room, done\nLet's put on an apron"", '0:43 “this country leads the world in logistic & supply chains” clearly he hasn’t heard of DHL, FedEx or UPS 😂😂😂', '""low confidence in police""\n\none can wonder why', 'Who is this liar..... Roast Boris anyone? I thought not!', 'GIVE THE TORIES THE HELL THEY DESERVE! I wish I could be there. Me & my hard boiled eggs.', 'The country is falling apart and this dude is out here making a cake and people are still supporting him? People are deluded.', 'UK  citizens paying their  "" wages ""    unbelievable  !', 'When this fool says that he is  confident   about  something  beware', 'Last week we laughed at labour this week we can laugh at the torys', 'Party of low tax...\nBedroom TAX\nPasties TAX\nIncreased council TAX', ""Can't we just put in a pie and eat him 😋"", 'Priti Awful and Boris clusterfxxk Johnson making a cake for the foodbanks', ""forget turkey,,,,,,where's all the money gone the thieving muppet"", 'Headline: Boris Bakes While Ratings Tank', 'Bake back better? Yea two of the fattest MP”s… suits them', ""Good, we are going to have a good xmas this year,  let's all bang our pots together in celebration ."", ""The EGR is bang on track , won't be long now ."", 'Last week it was the labour clowns,this week its the klaus Schwab muppet show', 'Enough said when one wet blanket says the top of another wet blankets priority list is ensuring we have a turkey for Christmas - deeply worrying and frankly pathetic - the country is a mess and needs fixing and they’re worried about turkeys FFS', 'What a knob head, the people in this country cant work and he is making cakes.  Pratt', 'There are no fuel shortages 😂', 'Usual daft photo opportunities! God this is tedious! This isn’t the 1970’s - we’ve moved on!', 'I’m sure they’ll have a lot of police.  I’d love to go to their conference with an AK47.', 'The doom and gloom of sky news', 'Things are getting very sticky now.', ""Privileged Tory's telling us this Christmas will be amazing... Literally taking a piss on us"", ""With furlough payments ending and every other disaster this government is responsible for, we're heading for a depression not seen on these islands for 90 years."", '...and amid chaos in the Labour Party', 'Always with the Masonic cosplay', 'Sick of the BBB nontraditional he rolls out on behalf of his masters, the WEF.   Lets get rid of this clown and his circus and Labour.', 'Someone needs to start a new party the ones we got have ruined this country past 30 years', 'No shortage of turkeys in the conservative party that gave their friends 10s of millions of pounds worth of ppe contracts for xmas', 'What would sir Kier have done in the circumstances....... Tumbleweed!', 'SLY NEWS tories to win next GE!', ""I spend two weeks in Germany during the month of September and as hard as I looked I didn't see any empty shelves in supermarkets but on my return I popped into Iceland and saw several of their freezers completely empty."", 'Who the hell would want to eat a cake that he baked? His dad (Mr Marburg virus) might have slipped some midazolam in with the flour.', 'Oh....I just realised this will be the first Christmas without my nain', 'The Boris lie-athon', 'Why is he in a boxing gym? Is he fighting Joe Biden next month?', 'Easiest deal in history\n\nThey need us more than we need them\n\nGerman car manufacturers will be on the phone pushing for a deal\n\nTitanic success', 'Its a Spice Girl tribute Band, levelling up is a zig a zig ah', 'Boris the Gallimaufry ! ', 'the conference looks like a fun fair........ its all about fun people :)', 'At least they will allow white males to ask a question unlike the labour conference.', 'Every one of them needs replacing.', 'Both sides are the same. \nBoth sides have been in power.\nBoth have failed the people.', 'and everyone thought the poison and clot shots were gonna be free. Smh lol', 'They will do anything for a bit of publicity , Priti should be in Dover , Useless person.', 'Not having any supper , it gives me reflux .', 'Sky spouting rubbish again, its not Brexit unless it is effecting Europe now ?', 'Never voting tory again', ""This must be about the fourth or fifth time the Tories have come to Manchester for their conference. It feels like they're trolling us; they are not welcome here. Their conference is like a bad smell that keeps coming back."", 'Welcome to Brexit', ""I'll stick up for rural police, they nothing like the met. Just scarce"", 'I dought  they ate  what they baked.', ""Boris Johnson waering an appron with a silly slogan on it and making something 'oven ready' .... again. \nIs this the only thing he has to offer? nauseating cringe for dummies?  Really?"", 'Clever how they present him like a loveable man but is actually a full time toss pot.', 'No wonder the pasty white and flabby Boris got the Covid bug badly. Underlying issues and far too much of the sugary stuff', 'BJ , this country leading the world in logistics, but can’t fill their own shelves, what a Joke.', 'I hope he is right.', 'blah blah blah,  oh wait a minute, I need to throw up in a bucket.', 'Dear God I wouldn’t trust him with this Cake Jesus let alone run this bloody country 🇬🇧', 'What fuel shortage?', 'Waste of space', 'Fraud', 'Con-Artists', 'get rid of useless leadership', 'Shut down London people', ""I don't have 'low confidence' in police, I have every confidence in their abilities.\n\nTrust is what's at stake here, not confidence."", 'Broke Boris Britain.', 'This has gotta be a joke right? This government has crippled us. Time for a new one in place.', ""Disruptions in supply chains was something people who voted for Brexit agreed to as a short term side effect of leaving the EU so it's just a cheep shot for the media to complain at it like it wasn't already a known side effect of the Brexit process back in 2016"", 'Shoul figer about petrol And fuel', ""I don't think he lives in the real world like the rest of us so many places out of stock so many promises"", 'It will be November 5 soon', 'The whole political system is broken, so every 4/5 year we vote for the party we want in Parliament, and its either Labour or Conservative.   Each party has its own agenda, on how to present various improvement or cuts.  In Scotland we have proportional representation, which in a way takes away power going to labour or the Tories   ']]"
7,['COVID-19: Klopp compares anti-vaxxers to drink-drivers'],"[['Jurgen Klopp has said refusing to take a COVID-19 jab is just as bad as drink-driving.', '', ""The Liverpool manager said he could not understand why people thought being asked to have a vaccination was a 'limitation of your freedom'."", '', 'Vaccine uptake among footballers has become a more pressing issue after reports suggested that only seven of the 20 Premier League clubs have fully vaccinated more than 50% of their players.', '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['6,944 views']","[[""This is getting utterly desperate now, it's actually laughable..."", 'It’s the dumbest thing he has ever said. Stick to management NOT A HEALH PROFESSIONAL', ""He's NOT drunk himself is he whilst talking. Lol"", 'Drinking is a choice, so is vaccination', 'The ending where he has no video. Such propaganda.', 'Due to the fuel shortage a lot of people have had to stop drink-driving!🍺', 'Next up, Paul Scholes tells us how to fly an apache gunship...', 'This topic needs to drop and people need to MYOB.', 'Who cares about his opinion …', 'Lets take medical advice from a footballer, worlds gone mad.', 'It seems that some football players have brain cells with common sense after all...good on them!', 'Vaccines do not reduce the chance of catching or transmitting the virus. \nCan someone please to me how  your vaccine status endangers anyone else?', ""F the lot of them I'd rather go watch my local amateur team now. People want football not political crap and woke virtue signalling."", 'What he means is, people are not responsible for their actions when they have the spike (not a vaccine) bit like being pissed !', ""Just manage your football team and keep your nose out of other people's business"", ""under half of police/ nurses/ care home workers/doctors/ haven't took the jab and even more MPs haven't had the jab boris and the queen never took it either."", 'As Liverpool fan i would say Klopp is a 🤡🤡', ""Daren't say anything else, or he would be sacked"", 'I used to love football I carnt bare to watch it now totally political now ruined the working class game', 'How to lose the respect of many in a single sentence.', 'A true German he is', ""Is this man a doctor? Is he taking legal responsibility for someone else's life? No. Then why is he giving medical advice?"", ""I had to watch this twice to get his point and now I get it....I don't give a feck what this utter tool thinks about my choice not to inject big pharma muck into my system....I also understand that I can withdraw my support from a football club that thinks it knows what's best for me and mine!!"", 'Klopp at the presser: ""I think I can say we have 99% vaccinated.""\nConspiracy theorist in the comments: ""No footballer will take the jab.""\n\nI think I\'ll go with the conspiracy theorist, same for medical advice! 👌', 'Ban the World Cup .. just a Money-Making Exercise.\nKlopp can have his opinion .. however he should stick to Football and stay out of Politics.', 'At least he admits he may be naive - showing a lack of experience, wisdom, or judgement.', 'He was my favourite football figure until yesterday. I just can\'t stand him now. I have heard a lot of nonsense about this ""pandemic"" but this was the worst.', 'Keep it Pureblood!!', ""It's a choice  remember it was offered remember"", 'Just a chance to implement a social credit system, a cashless society, a one world government, the end of all privately owned property, mandatory multiple 💉, universal basic income, the end of private transport, owning cars, the end of private farms and grazing livestock, the end of single family homes.', 'No footballer will take the jab.\nWho are they fooling apart from the sleeping sheeps? This is just controlled opposition.', 'So sad how this has become so political.', 'Another shill', 'What about when Giggsy did his bros wife, or beat up his mrs', ""Weren't the doctors offering alcohol as an incentive in exchange for taking the jab? Now, drink driving is equal to being unvaccinated? Where is the logic? Common sense isn't common!"", ""Funny how desperate they're getting."", ""It's your basic human rights to choose for yourself, klopp smokes so isn't he putting people at risk ?"", 'Dam, maybe some one needs to proof read your headlines before they release them 🤦🏻\u200d♀️', 'Some Footballers like to tell Government how to do things and yet wont take the jab. \nSounds like ""Double Standards"" to me!!!', 'But wants players to have exemption for travel', ""Someone's had a brown envelope 🤑"", 'Title reads : drink drivers.....\n\nReal good news work at sky news', ""Lmfao. Righto. Just another level to the propaganda and coercion everyone with a brain has to ride out. I don't capitulate to bullies or morons."", 'I compare Klopp to a drug dealer.', 'Klopp doesn\'t know the basic Covid vaccine facts.\nHe also struggles with the concept of ""My body, my choice"".\nUntil he does some basic research I suggest he sticks to topic of football.', ""That's rather ridiculous considering I don't drink alcohol."", 'Why do they never talk about naturally aquired immunity? 🤔', 'bad comparison, the vaccine is not mandatory.', ""Pleasing to see so many are up in arms at Klopp's ridiculous comments. That's it for me. Bye bye Liverpool."", 'Nowadays, we have drunk drivers accusing the very apparently sober drivers around him of drink driving.', 'I compare ppl forcing ppl to do things to fascists', '😳😳😳', 'Hyperinflation incoming!', 'He should have stayed by the Snikers advertisment', 'Nuremberg Code states that all government medical experiments on the public must be consensual and under no duress when deciding to participate in government medical experiments.', '😂', ""No.  More like the person who doesn't get drunk in the first place."", '💉 JUST SAY NO 💉', 'Ehrenmann!!', 'And from Liverpool. I could tell. 🤣', 'Drink Driving Matters !! (sic)', '', 'Dr Klopp received his medical degree from Liverpool John Moors University and also is accredited by The World Economic Forum and SAGE.', 'Who is this guy though and what sort of weight does his opinion hold in my life. Nowt', 'Christian Eriksson got the quackccine.', '', 'What a load of rubbish talk', 'And I\'m ""allowed"" to have a say what goes into my body!!\nIt\'s my choice so get over it!', 'Cuz he drink', 'Sheep', 'Love Klopp but sky stop using his name to manipulate the sheep!', 'Mind your own business', ""Let's all take medical advice from a football manager"", 'Klopp is cool but not this time', ' Try harder\n#pureblood', 'Why did he say ""ban"" in they way that he said ""ban""....', 'What happened to the seat belt theory ? this is the next level !', 'How about someone proof reading your headlines before posting ️', 'anti-vaxxers in the comment be acting like they know better than doctors and researchers ']]"
8,"[""Mr Brainwash 'honouring' top artists by reproducing their work""]","[['Artist Mr Brainwash counts the Obamas and the late comic book legend Stan Lee among his fans.', '', 'Thierry Guetta pays tribute to artists such as Banksy, and Damien Hirst, by ""reproducing"" their work.  ', '', ""He's been speaking to our arts and entertainment Correspondent Katie Spencer."", '', 'SUBSCRIBE to our YouTube channel for more videos: ']]",[''],"['1,915 views']","[['Isn’t that what plagiarists say? Lol', ""He's not the only brainwashed indoctrinated clone around"", 'Ripping them off because he has not an ounce of creativity', ""So he's a gimmick?"", '....is this the guy in charge of mainstream media...??', 'Fraud', ""Banksy gave him the flag to be waived !\nIt's easy to copy...\nGreat artists steal."", 'Stooge . Who cares', 'I am not a fan of fraud artists like this man and banksy!! It’s thanks to fraudsters like this that made it possible for a Virgil Abloh!!', ""Pope Art  quality.\nI don't see an issue with this, he's seriously talented and music borrows and evolves from others. I like it. Art can be taken way too seriously"", 'Who?', 'Clean the U.K. up fully up', 'Boycott AUSTRALIA!!!', 'Boycott AUSTRALIA!!!', 'Boycott AUSTRALIA!!!', 'Boycott AUSTRALIA!!!', 'Boycott AUSTRALIA!!!', 'Honble UPA Chairperson Smt Soniagandhi madum please fight for to implement Ballot Paper voting system in next MP elections in 2024and to save democracy in india and public opinion in favour of Ballot Paper voting system and right to vote is fundamental right.public opinion is foundation of democracy', 'Cá lớn ăn cá nhỏ là đúng hay sai: cá nhỏ chấp nhận bị cá lớn ăn thì cá lớn độc tài không dân chủ đúng hay sai? Động vật bậc thấp là Cá và gà làm thức ăn cho con người động vật bậc cao.Vậy cha mẹ nó còn muốn sinh con ra để bị ăn thịt.Ai cũng muốn sướng không ai muốn khổ.Ngu thì làm nô lệ cho khôn thông minh thiên tài là con người cũng 1 lần sống và chết là hết. Tất cả mọi người sinh ra có quyền bình đẳng. Tạo hóa cho họ những quyền không ai xâm phạm.quyền được sống, quyền tự do và mưu cầu hạnh phúc', ""it's a delicate balance, selling rich people interior decorations, that make poor people wish they could afford pop art.\ni do like it when people are enabled to make their own, invaluable, art work."", 'Italian Police STAND DOWN In Solidarity With Protesters']]"
9,"[""Money is 'not the answer' to fix UK's supply issues""]","[['Steve Murrells, chief executive of the Co-operative Group, said things are ""improving"" with the UK\'s supply issues - but not as quickly as he would like.', '', 'Speaking to Trevor Phillips, Mr Murrells added that money will help resolve the problem but it is ""not the answer"".', '', 'Watch the full show: ']]",[''],"['3,610 views']","[['""don\'t worry about money, eat Soverignty"" - Rich Tory Landlords', ""I honestly don't understand what this guy is saying\nThe problem isn't how we move goods as the way we move goods has always worked and hasn't changed\nWe are missing staff and an easier arrangement with EU\nEU was our most reliable source of staffing and goods"", 'why be an essential worker when non essentials were living of your back during the shutdowns', 'In other words... they dont want to raise drivers wages...lol', 'he said ""on christmas day"" lol... good luck expecting coop to be open', 'Hope comes from the Holy Spirit.  Romans 15:13', 'I live in Canada now. No shortages here. (Bloody inflation is another issue.) How is this a global issue?!?', 'His job is to make sure that the millionaires and billionaires to earn his company continue to be millionaires and billionaires it is not his job to make sure that we get cheap goods', '""not the answer"" > Karl Marx', 'The problem is that the UK sold out to globalisation years ago and now has to rebuild its foundations as a nation.', ' Ull get ur stuffing to coin a phrase, both trying to make each other laugh', 'เงินไม่ใช่ปัญหา..แล้วที่มีปัญหาอยู่ทุกวันนี้คืออะไร\nตอบ..= ใครคิด !?  พวกคุณทำอะไร', 'Then throw back the money to us, we all need money', ""Funny we don't have this kind of problems in Europe hahaha"", 'I want my MTV', 'Throw money as me instead it will solve all my problems', 'Bollocks, money has always helped my family. In fact my new Range Rover will be delivered next week with a full tank of gas.', 'Yes it is. Lower the prise of taking a lorry test. People can’t afford to take hgv test', '괜찮아요?', 'Will media induced panic buying help the situation. 🇬🇧', ""Thank god its a global issue  I was wrongly thinking it was a Brexit  issue ,I'm so glad I'm wrong  🤣🤣🤣🤣🤣🤣🤣🤣"", 'stop encouraging school leavers to attend a polytechnic to get a worthless third class degree in film studies etc......encourage them to learn a trade .', ""I wouldn't rule out the possibility of tens of thousands of British people begging on the streets in a decade as UK's economic collapse and health crisis will continue to deepen."", 'There is enough for people need just not enough for people greed.', 'ทำไมไม่จ่ายเด็กไป !?', ""Throwing money at a problem won't solve anything........we should learn from Labour and the NHS !"", 'Money is the answer for fixing climate change too!!!', ""The UK has become a cheap low wage domestic services economy and the pay and conditions of our HGV drivers are rancid and disgusting. Drive a lorry for fifteen hours without a shower? No wonder there's a shortage."", 'so many excuses while other countries are just fine', ""Why doesn't the French government secure the border at Calais ? A few EU drivers said in interviews that they refuse to drive to the UK because they risk their lives every time they cross the border at Calais. Some of them have been beaten and stabbed by the migrants. And if they get through, they risk to end up paying thousands of euros out of their pocket if migrants are found in their lorries. I don't say this is the only reason for the shortages we have but it is one of the reasons and an important one."", 'The uk is a country of snowflakes and pensioners someone is going to have to do the basic jobs and the heavy and dirty ones. Not the locals.', 'vay.fyi\n\nspiffing']]"
